场景,企业ID,企业名称,管理类别,风险等级,预测风险等级,是否发生事故,安全生产标准化建设情况,企业职工总人数,专职安全生产管理人员数,兼职安全生产管理人员数,上一年经营收入,固定资产,是否发现问题隐患 0-否 1-是,具体风险描述,管控措施,安全等级,企业规模,行业监管大类,国民经济大类,报告时间,数据来源,是否规上企业,是否投保,是否履行三同时手续,厂中厂,有风险项,爆炸性粉尘企业,氨制冷企业,有限空间企业,重大危险源,金属冶炼企业,燃气企业,有限空间作业企业,危化品企业,风险重点企业,关键风险企业,数据有效标识,危化品企业标识,危险化学品使用,有限空间关键企业,最近风险报告ID,安全管理人员数量,部门安全管理人员数量,专职安全管理人持证员数,兼职安全管理人持证员数,特种作业持证人数,投保金额,工伤保险支出（万元）,投保人数,上一年人员流动率,总风险数,A级风险数,B级风险数,C级风险数,D级风险数,曾发事故的风险数,检查总次数,检查发现问题次数,隐患总数,一般隐患数,重大隐患数,未整改隐患数,文书总数,立案文书数,检查文书数,处罚金额,干式除尘系统数量,除尘作业次数,转炉数量,电炉数量,生产状态,经营状态,国民经济门类,国民经济中类,国民经济小类,经度,纬度,危化品储罐数量,重大危险源数量,消防设施完好率,气体检测仪在线率,高炉容积_m3,煤气柜容量_万m3,铁水包在线数量,炉壳温度测点完好率,煤气报警器覆盖率,抛光工位数量,湿式除尘器数量,粉尘清扫制度执行率,防爆电气覆盖率,静电接地完好率,高炉数量
dust,DUST-3-001,联创铝镁粉尘制品厂（模拟-橙）,3031,3,橙,0,1,364,1,0,4701,104037,1,抛光车间粉尘浓度上升，除尘水位偏低，防爆电气个别点位待整改,暂停高风险工位作业，补充除尘水位并整改防爆电气,C级,中型,粉尘涉爆,金属制品业,2026-05-14,演示CSV,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,RPT-133782,1,1,1,0,24,209.62,63.62,250,0.231,4,0,0,2,1,0,30,3,4,4,0,0,9,0,9,19.0,0,50,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,120.706082,31.100897,,,,,,,,,,5,4,0.71,0.74,0.64,
dust,DUST-3-002,宏粉尘铝镁粉尘制品厂（模拟-橙）,3032,3,橙,0,1,52,1,0,6479,15796,1,抛光车间粉尘浓度上升，除尘水位偏低，防爆电气个别点位待整改,暂停高风险工位作业，补充除尘水位并整改防爆电气,C级,中型,粉尘涉爆,金属制品业,2026-05-09,演示CSV,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,RPT-756401,1,1,1,0,3,277.93,13.28,37,0.145,3,0,0,2,0,1,18,5,6,6,2,2,5,2,3,21.76,2,105,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,120.881155,31.524463,,,,,,,,,,17,4,0.64,0.69,0.73,
dust,DUST-3-003,顺达铝镁粉尘制品厂（模拟-橙）,3033,3,橙,1,2,272,2,1,7324,186487,1,抛光车间粉尘浓度上升，除尘水位偏低，防爆电气个别点位待整改,暂停高风险工位作业，补充除尘水位并整改防爆电气,C级,中型,粉尘涉爆,金属制品业,2026-05-10,演示CSV,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,RPT-154040,3,1,2,1,9,336.84,52.2,249,0.23,3,0,0,2,0,0,18,8,8,8,2,3,3,2,1,8.46,0,117,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,121.087584,31.671451,,,,,,,,,,10,4,0.65,0.77,0.67,
dust,DUST-3-004,新铝铝镁粉尘制品厂（模拟-橙）,3034,3,橙,1,1,37,1,0,6418,198743,1,抛光车间粉尘浓度上升，除尘水位偏低，防爆电气个别点位待整改,暂停高风险工位作业，补充除尘水位并整改防爆电气,C级,中型,粉尘涉爆,金属制品业,2026-05-22,演示CSV,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,RPT-898625,1,1,1,0,2,457.17,35.95,25,0.156,4,0,0,2,1,0,29,4,5,5,1,0,6,1,5,16.03,2,48,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,121.241252,31.01622,,,,,,,,,,21,5,0.71,0.7,0.65,
dust,DUST-3-005,泰和铝镁粉尘制品厂（模拟-橙）,3035,3,橙,0,1,198,1,0,4390,145347,1,抛光车间粉尘浓度上升，除尘水位偏低，防爆电气个别点位待整改,暂停高风险工位作业，补充除尘水位并整改防爆电气,C级,中型,粉尘涉爆,金属制品业,2026-04-24,演示CSV,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,RPT-957730,1,1,1,0,11,382.17,38.87,147,0.225,3,0,0,2,1,1,34,6,8,8,1,2,10,0,10,10.99,0,28,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,121.20717,31.009141,,,,,,,,,,20,4,0.67,0.73,0.72,
dust,DUST-3-006,瑞丰铝镁粉尘制品厂（模拟-橙）,3036,3,橙,0,2,345,1,0,428,2733,1,抛光车间粉尘浓度上升，除尘水位偏低，防爆电气个别点位待整改,暂停高风险工位作业，补充除尘水位并整改防爆电气,C级,中型,粉尘涉爆,金属制品业,2026-04-14,演示CSV,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,RPT-954814,1,1,1,0,14,397.47,15.53,262,0.243,3,0,0,2,0,1,31,7,7,7,0,1,3,0,3,20.47,1,92,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,120.743208,31.697236,,,,,,,,,,13,6,0.75,0.65,0.75,
dust,DUST-3-007,广益铝镁粉尘制品厂（模拟-橙）,3037,3,橙,0,2,362,2,1,3406,99872,1,抛光车间粉尘浓度上升，除尘水位偏低，防爆电气个别点位待整改,暂停高风险工位作业，补充除尘水位并整改防爆电气,C级,中型,粉尘涉爆,金属制品业,2026-04-15,演示CSV,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,RPT-384263,3,1,2,1,8,37.17,74.79,328,0.234,2,0,0,1,0,1,31,8,8,8,2,0,3,1,2,15.96,2,104,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,120.532902,31.928766,,,,,,,,,,14,1,0.77,0.72,0.73,
dust,DUST-3-008,鑫源抛光车间（模拟-橙）,3038,3,橙,0,1,394,2,1,2751,43585,1,抛光车间粉尘浓度上升，除尘水位偏低，防爆电气个别点位待整改,暂停高风险工位作业，补充除尘水位并整改防爆电气,C级,中型,粉尘涉爆,金属制品业,2026-04-18,演示CSV,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,RPT-911131,3,1,2,1,15,317.06,64.85,285,0.162,2,0,0,2,0,0,32,4,7,7,2,2,3,0,3,21.56,0,65,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,121.053038,31.375427,,,,,,,,,,9,6,0.71,0.69,0.73,
dust,DUST-3-009,联创抛光车间（模拟-橙）,3039,3,橙,0,1,181,1,0,972,71247,1,抛光车间粉尘浓度上升，除尘水位偏低，防爆电气个别点位待整改,暂停高风险工位作业，补充除尘水位并整改防爆电气,C级,中型,粉尘涉爆,金属制品业,2026-04-12,演示CSV,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,RPT-570646,1,1,1,0,9,256.22,17.23,154,0.104,3,0,0,2,1,0,18,7,8,8,2,3,7,1,6,21.03,2,31,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,121.096925,31.784439,,,,,,,,,,16,1,0.66,0.7,0.65,
dust,DUST-3-010,宏粉尘抛光车间（模拟-橙）,3040,3,橙,1,1,316,1,0,4985,137604,1,抛光车间粉尘浓度上升，除尘水位偏低，防爆电气个别点位待整改,暂停高风险工位作业，补充除尘水位并整改防爆电气,C级,中型,粉尘涉爆,金属制品业,2026-04-19,演示CSV,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,RPT-855917,1,1,1,0,18,296.9,23.69,211,0.107,4,0,0,2,1,0,19,7,8,8,0,1,8,1,7,7.84,1,20,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,121.448823,31.332217,,,,,,,,,,23,4,0.74,0.69,0.68,
metallurgy,META-2024-002,金泰钢铁集团炼铁厂,2001,3,橙,0,3,580,12,6,45000,180000,1,高炉煤气管道压力波动异常，TRT透平机振动值超标，炉顶温度连续3小时高于警戒值,降低鼓风量至正常值的85%，增加炉顶打水频率，密切监控煤气成分,B级,大型,冶金,黑色金属冶炼和压延加工业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200,15,8,0.82,0.91,,,,,,
metallurgy,META-3-001,宝钢钢铁炼铁厂（模拟-橙）,2031,3,橙,0,1,237,2,1,1594,116239,1,高炉煤气管道压力波动异常，炉顶温度多次逼近警戒值,降低鼓风量并增加炉顶打水，密切监控煤气成分,C级,中型,冶金,黑色金属冶炼和压延加工业,2026-04-18,演示CSV,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,RPT-380464,3,1,2,1,11,70.44,13.54,202,0.241,3,0,0,1,1,1,27,8,11,11,0,1,4,1,3,19.63,0,0,0,1,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,121.364164,31.418135,,,,,1200,15,11,0.73,0.71,,,,,,1
metallurgy,META-3-002,龙腾钢铁炼铁厂（模拟-橙）,2032,3,橙,0,2,293,2,1,4374,7075,1,高炉煤气管道压力波动异常，炉顶温度多次逼近警戒值,降低鼓风量并增加炉顶打水，密切监控煤气成分,C级,中型,冶金,黑色金属冶炼和压延加工业,2026-04-11,演示CSV,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,RPT-862847,3,1,2,1,12,201.63,13.17,194,0.098,2,0,0,2,0,0,16,7,10,10,0,0,9,2,7,15.16,0,0,1,2,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,121.061817,31.362524,,,,,2000,7,8,0.71,0.76,,,,,,1
metallurgy,META-3-003,华冶钢铁炼铁厂（模拟-橙）,2033,3,橙,0,1,378,2,1,3526,98831,1,高炉煤气管道压力波动异常，炉顶温度多次逼近警戒值,降低鼓风量并增加炉顶打水，密切监控煤气成分,C级,中型,冶金,黑色金属冶炼和压延加工业,2026-04-18,演示CSV,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,RPT-270395,3,1,2,1,16,308.25,68.98,276,0.185,1,0,0,1,0,0,24,6,7,7,0,1,10,1,9,10.66,0,0,2,0,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,121.007315,31.509714,,,,,3200,14,9,0.74,0.72,,,,,,1
metallurgy,META-3-004,鑫钢钢铁炼铁厂（模拟-橙）,2034,3,橙,0,1,243,1,0,5189,125410,1,高炉煤气管道压力波动异常，炉顶温度多次逼近警戒值,降低鼓风量并增加炉顶打水，密切监控煤气成分,C级,中型,冶金,黑色金属冶炼和压延加工业,2026-05-18,演示CSV,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,RPT-824042,1,1,1,0,7,250.91,52.8,152,0.165,2,0,0,1,1,1,22,4,4,4,2,3,3,2,1,9.12,0,0,2,1,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,121.348377,31.727402,,,,,1200,11,10,0.69,0.75,,,,,,1
metallurgy,META-3-005,中联钢铁炼铁厂（模拟-橙）,2035,3,橙,0,2,190,1,0,4775,93874,1,高炉煤气管道压力波动异常，炉顶温度多次逼近警戒值,降低鼓风量并增加炉顶打水，密切监控煤气成分,C级,中型,冶金,黑色金属冶炼和压延加工业,2026-05-18,演示CSV,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,RPT-401769,1,1,1,0,5,338.31,36.58,156,0.247,3,0,0,2,1,1,35,5,8,8,0,0,5,1,4,21.7,0,0,1,1,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,121.318377,31.954609,,,,,1200,14,2,0.69,0.75,,,,,,1
metallurgy,META-3-006,北方钢铁炼铁厂（模拟-橙）,2036,3,橙,1,1,365,3,1,1955,142184,1,高炉煤气管道压力波动异常，炉顶温度多次逼近警戒值,降低鼓风量并增加炉顶打水，密切监控煤气成分,C级,中型,冶金,黑色金属冶炼和压延加工业,2026-04-12,演示CSV,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,RPT-526673,4,1,3,1,21,440.32,43.3,305,0.194,1,0,0,1,0,1,22,5,6,6,0,0,7,1,6,5.89,0,0,2,2,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,121.255911,31.287245,,,,,2000,6,3,0.73,0.71,,,,,,1
metallurgy,META-3-007,扬子钢铁炼铁厂（模拟-橙）,2037,3,橙,1,2,49,1,0,7527,47081,1,高炉煤气管道压力波动异常，炉顶温度多次逼近警戒值,降低鼓风量并增加炉顶打水，密切监控煤气成分,C级,中型,冶金,黑色金属冶炼和压延加工业,2026-05-12,演示CSV,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,RPT-386090,1,1,1,0,1,56.32,21.37,35,0.163,2,0,0,1,0,0,15,7,10,10,0,1,6,1,5,6.82,0,0,2,2,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,120.757265,31.186199,,,,,2000,14,11,0.73,0.71,,,,,,1
metallurgy,META-3-008,金泰轧钢厂（模拟-橙）,2038,3,橙,0,2,237,1,0,1010,106076,1,高炉煤气管道压力波动异常，炉顶温度多次逼近警戒值,降低鼓风量并增加炉顶打水，密切监控煤气成分,C级,中型,冶金,黑色金属冶炼和压延加工业,2026-04-16,演示CSV,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,RPT-165142,1,1,1,0,14,232.7,21.18,158,0.2,2,0,0,2,0,0,35,2,3,3,0,1,7,1,6,9.0,0,0,2,0,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,121.423106,31.887801,,,,,2000,8,12,0.75,0.72,,,,,,1
metallurgy,META-3-009,宝钢轧钢厂（模拟-橙）,2039,3,橙,0,2,142,1,0,6425,159790,1,高炉煤气管道压力波动异常，炉顶温度多次逼近警戒值,降低鼓风量并增加炉顶打水，密切监控煤气成分,C级,中型,冶金,黑色金属冶炼和压延加工业,2026-04-26,演示CSV,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,RPT-444056,1,1,1,0,10,220.92,57.62,81,0.205,2,0,0,1,0,0,25,7,10,10,2,1,3,2,1,11.15,0,0,2,0,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,120.988828,31.898889,,,,,3200,6,9,0.67,0.73,,,,,,1
metallurgy,META-3-010,龙腾轧钢厂（模拟-橙）,2040,3,橙,0,2,316,2,1,6225,6706,1,高炉煤气管道压力波动异常，炉顶温度多次逼近警戒值,降低鼓风量并增加炉顶打水，密切监控煤气成分,C级,中型,冶金,黑色金属冶炼和压延加工业,2026-05-09,演示CSV,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,RPT-906325,3,1,2,1,8,320.76,61.05,298,0.244,2,0,0,1,0,0,26,5,5,5,2,1,3,0,3,6.08,0,0,2,0,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,120.874461,31.891334,,,,,3200,17,8,0.67,0.77,,,,,,1
