企业ID,企业名称,管理类别,风险等级,预测风险等级,是否发生事故,安全生产标准化建设情况,企业职工总人数,专职安全生产管理人员数,兼职安全生产管理人员数,上一年经营收入,固定资产,是否发现问题隐患 0-否 1-是,具体风险描述,管控措施,安全等级,企业规模,行业监管大类,国民经济大类,报告时间,数据来源,是否规上企业,是否投保,是否履行三同时手续,厂中厂,有风险项,爆炸性粉尘企业,氨制冷企业,有限空间企业,重大危险源,金属冶炼企业,燃气企业,有限空间作业企业,危化品企业,风险重点企业,关键风险企业,数据有效标识,危化品企业标识,危险化学品使用,有限空间关键企业,最近风险报告ID,安全管理人员数量,部门安全管理人员数量,专职安全管理人持证员数,兼职安全管理人持证员数,特种作业持证人数,投保金额,工伤保险支出（万元）,投保人数,上一年人员流动率,总风险数,A级风险数,B级风险数,C级风险数,D级风险数,曾发事故的风险数,检查总次数,检查发现问题次数,隐患总数,一般隐患数,重大隐患数,未整改隐患数,文书总数,立案文书数,检查文书数,处罚金额,干式除尘系统数量,除尘作业次数,转炉数量,电炉数量,生产状态,经营状态,国民经济门类,国民经济中类,国民经济小类,经度,纬度,抛光工位数量,湿式除尘器数量,粉尘清扫制度执行率,防爆电气覆盖率,静电接地完好率
DUST-2-006,瑞丰铝镁粉尘制品厂（模拟-黄）,3026,2,黄,0,2,467,3,1,27044,6467,1,部分工位粉尘浓度监测偏高，湿式除尘水位需定期复核,一周内完成高浓度工位除尘能力评估与增湿措施,B级,中型,粉尘涉爆,金属制品业,2026-04-21,演示CSV,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,RPT-717476,4,1,3,1,20,293.92,70.94,414,0.1,2,0,0,0,2,0,24,3,6,6,0,0,4,0,4,0.0,0,62,0,0,正常生产,正常,制造业,金属制品业,金属结构制造,121.279118,31.076379,3,5,0.8,0.88,0.78
DUST-2-007,广益铝镁粉尘制品厂（模拟-黄）,3027,2,黄,0,2,784,4,2,15984,27949,1,部分工位粉尘浓度监测偏高，湿式除尘水位需定期复核,一周内完成高浓度工位除尘能力评估与增湿措施,B级,中型,粉尘涉爆,金属制品业,2026-05-22,演示CSV,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,RPT-891093,6,2,4,2,42,1656.15,57.68,486,0.111,1,0,0,0,1,0,18,5,6,6,0,0,1,0,1,0.0,2,101,0,0,正常生产,正常,制造业,金属制品业,金属结构制造,121.486532,31.323208,7,2,0.79,0.81,0.82
DUST-2-008,鑫源抛光车间（模拟-黄）,3028,2,黄,0,2,321,2,1,23564,133995,1,部分工位粉尘浓度监测偏高，湿式除尘水位需定期复核,一周内完成高浓度工位除尘能力评估与增湿措施,B级,中型,粉尘涉爆,金属制品业,2026-05-10,演示CSV,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,RPT-775981,3,1,2,1,23,2406.4,53.05,223,0.081,2,0,0,0,2,0,16,5,8,8,0,0,1,0,1,0.0,1,94,0,0,正常生产,正常,制造业,金属制品业,金属结构制造,121.054316,31.791818,2,4,0.87,0.83,0.76
DUST-2-009,联创抛光车间（模拟-黄）,3029,2,黄,0,2,659,4,2,4554,119101,1,部分工位粉尘浓度监测偏高，湿式除尘水位需定期复核,一周内完成高浓度工位除尘能力评估与增湿措施,B级,中型,粉尘涉爆,金属制品业,2026-05-24,演示CSV,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,RPT-648141,6,2,4,2,37,1069.8,74.26,548,0.071,1,0,0,0,1,0,17,6,6,6,0,0,2,0,2,0.0,1,106,0,0,正常生产,正常,制造业,金属制品业,金属结构制造,121.097886,31.789227,7,1,0.77,0.83,0.79
DUST-2-010,宏粉尘抛光车间（模拟-黄）,3030,2,黄,0,2,298,1,0,22347,22365,1,部分工位粉尘浓度监测偏高，湿式除尘水位需定期复核,一周内完成高浓度工位除尘能力评估与增湿措施,B级,中型,粉尘涉爆,金属制品业,2026-04-17,演示CSV,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,RPT-686072,1,1,1,0,12,2233.32,66.92,234,0.094,3,0,0,0,2,0,32,3,5,5,0,0,2,0,2,0.0,2,107,0,0,正常生产,正常,制造业,金属制品业,金属结构制造,121.412448,31.093453,8,5,0.78,0.8,0.76
DUST-3-001,联创铝镁粉尘制品厂（模拟-橙）,3031,3,橙,0,1,364,1,0,4701,104037,1,抛光车间粉尘浓度上升，除尘水位偏低，防爆电气个别点位待整改,暂停高风险工位作业，补充除尘水位并整改防爆电气,C级,中型,粉尘涉爆,金属制品业,2026-05-14,演示CSV,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,RPT-133782,1,1,1,0,24,209.62,63.62,250,0.231,4,0,0,2,1,0,30,3,4,4,0,0,9,0,9,19.0,0,50,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,120.706082,31.100897,5,4,0.71,0.74,0.64
DUST-3-002,宏粉尘铝镁粉尘制品厂（模拟-橙）,3032,3,橙,0,1,52,1,0,6479,15796,1,抛光车间粉尘浓度上升，除尘水位偏低，防爆电气个别点位待整改,暂停高风险工位作业，补充除尘水位并整改防爆电气,C级,中型,粉尘涉爆,金属制品业,2026-05-09,演示CSV,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,RPT-756401,1,1,1,0,3,277.93,13.28,37,0.145,3,0,0,2,0,1,18,5,6,6,2,2,5,2,3,21.76,2,105,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,120.881155,31.524463,17,4,0.64,0.69,0.73
DUST-3-003,顺达铝镁粉尘制品厂（模拟-橙）,3033,3,橙,1,2,272,2,1,7324,186487,1,抛光车间粉尘浓度上升，除尘水位偏低，防爆电气个别点位待整改,暂停高风险工位作业，补充除尘水位并整改防爆电气,C级,中型,粉尘涉爆,金属制品业,2026-05-10,演示CSV,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,RPT-154040,3,1,2,1,9,336.84,52.2,249,0.23,3,0,0,2,0,0,18,8,8,8,2,3,3,2,1,8.46,0,117,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,121.087584,31.671451,10,4,0.65,0.77,0.67
DUST-3-004,新铝铝镁粉尘制品厂（模拟-橙）,3034,3,橙,1,1,37,1,0,6418,198743,1,抛光车间粉尘浓度上升，除尘水位偏低，防爆电气个别点位待整改,暂停高风险工位作业，补充除尘水位并整改防爆电气,C级,中型,粉尘涉爆,金属制品业,2026-05-22,演示CSV,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,RPT-898625,1,1,1,0,2,457.17,35.95,25,0.156,4,0,0,2,1,0,29,4,5,5,1,0,6,1,5,16.03,2,48,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,121.241252,31.01622,21,5,0.71,0.7,0.65
DUST-3-005,泰和铝镁粉尘制品厂（模拟-橙）,3035,3,橙,0,1,198,1,0,4390,145347,1,抛光车间粉尘浓度上升，除尘水位偏低，防爆电气个别点位待整改,暂停高风险工位作业，补充除尘水位并整改防爆电气,C级,中型,粉尘涉爆,金属制品业,2026-04-24,演示CSV,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,RPT-957730,1,1,1,0,11,382.17,38.87,147,0.225,3,0,0,2,1,1,34,6,8,8,1,2,10,0,10,10.99,0,28,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,121.20717,31.009141,20,4,0.67,0.73,0.72
DUST-3-006,瑞丰铝镁粉尘制品厂（模拟-橙）,3036,3,橙,0,2,345,1,0,428,2733,1,抛光车间粉尘浓度上升，除尘水位偏低，防爆电气个别点位待整改,暂停高风险工位作业，补充除尘水位并整改防爆电气,C级,中型,粉尘涉爆,金属制品业,2026-04-14,演示CSV,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,RPT-954814,1,1,1,0,14,397.47,15.53,262,0.243,3,0,0,2,0,1,31,7,7,7,0,1,3,0,3,20.47,1,92,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,120.743208,31.697236,13,6,0.75,0.65,0.75
DUST-3-007,广益铝镁粉尘制品厂（模拟-橙）,3037,3,橙,0,2,362,2,1,3406,99872,1,抛光车间粉尘浓度上升，除尘水位偏低，防爆电气个别点位待整改,暂停高风险工位作业，补充除尘水位并整改防爆电气,C级,中型,粉尘涉爆,金属制品业,2026-04-15,演示CSV,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,RPT-384263,3,1,2,1,8,37.17,74.79,328,0.234,2,0,0,1,0,1,31,8,8,8,2,0,3,1,2,15.96,2,104,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,120.532902,31.928766,14,1,0.77,0.72,0.73
DUST-3-008,鑫源抛光车间（模拟-橙）,3038,3,橙,0,1,394,2,1,2751,43585,1,抛光车间粉尘浓度上升，除尘水位偏低，防爆电气个别点位待整改,暂停高风险工位作业，补充除尘水位并整改防爆电气,C级,中型,粉尘涉爆,金属制品业,2026-04-18,演示CSV,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,RPT-911131,3,1,2,1,15,317.06,64.85,285,0.162,2,0,0,2,0,0,32,4,7,7,2,2,3,0,3,21.56,0,65,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,121.053038,31.375427,9,6,0.71,0.69,0.73
DUST-3-009,联创抛光车间（模拟-橙）,3039,3,橙,0,1,181,1,0,972,71247,1,抛光车间粉尘浓度上升，除尘水位偏低，防爆电气个别点位待整改,暂停高风险工位作业，补充除尘水位并整改防爆电气,C级,中型,粉尘涉爆,金属制品业,2026-04-12,演示CSV,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,RPT-570646,1,1,1,0,9,256.22,17.23,154,0.104,3,0,0,2,1,0,18,7,8,8,2,3,7,1,6,21.03,2,31,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,121.096925,31.784439,16,1,0.66,0.7,0.65
DUST-3-010,宏粉尘抛光车间（模拟-橙）,3040,3,橙,1,1,316,1,0,4985,137604,1,抛光车间粉尘浓度上升，除尘水位偏低，防爆电气个别点位待整改,暂停高风险工位作业，补充除尘水位并整改防爆电气,C级,中型,粉尘涉爆,金属制品业,2026-04-19,演示CSV,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,RPT-855917,1,1,1,0,18,296.9,23.69,211,0.107,4,0,0,2,1,0,19,7,8,8,0,1,8,1,7,7.84,1,20,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,121.448823,31.332217,23,4,0.74,0.69,0.68
DUST-2024-003,鑫源铝镁粉尘制品厂,3002,4,红,1,1,85,1,1,1200,800,1,抛光车间铝镁粉尘浓度达到爆炸极限的45%，湿式除尘系统水位不足，电气设备未按要求防爆,立即停止抛光作业，补充除尘水位，切断非防爆电源,D级,小型,粉尘涉爆,金属制品业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3,0.45,0.6,0.55
DUST-4-001,联创铝镁粉尘制品厂（模拟-红）,3041,4,红,1,1,369,2,1,2772,85568,1,粉尘浓度达爆炸极限区间，湿式除尘失效，非防爆电气仍在运行,立即停止产尘作业，切断非防爆电源，疏散人员并设警戒区,D级,小型,粉尘涉爆,金属制品业,2026-05-12,演示CSV,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,RPT-290926,3,1,2,1,20,460.52,77.73,258,0.125,6,3,1,0,2,1,18,3,6,6,2,3,4,2,2,8.7,2,33,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,121.436688,31.140643,6,2,0.57,0.58,0.61
DUST-4-002,宏粉尘铝镁粉尘制品厂（模拟-红）,3042,4,红,1,1,75,1,0,3958,3987,1,粉尘浓度达爆炸极限区间，湿式除尘失效，非防爆电气仍在运行,立即停止产尘作业，切断非防爆电源，疏散人员并设警戒区,D级,小型,粉尘涉爆,金属制品业,2026-05-23,演示CSV,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,RPT-270557,1,1,1,0,3,399.6,12.34,70,0.093,4,2,1,0,1,1,22,4,5,5,2,0,8,1,7,3.44,1,33,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,120.5742,31.170105,16,2,0.63,0.61,0.64
DUST-4-003,顺达铝镁粉尘制品厂（模拟-红）,3043,4,红,1,1,77,1,0,6071,9124,1,粉尘浓度达爆炸极限区间，湿式除尘失效，非防爆电气仍在运行,立即停止产尘作业，切断非防爆电源，疏散人员并设警戒区,D级,小型,粉尘涉爆,金属制品业,2026-05-17,演示CSV,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,RPT-157152,1,1,1,0,3,213.8,30.62,50,0.196,3,1,1,0,1,1,27,3,6,6,0,0,10,2,8,14.28,2,81,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,120.699675,31.025736,9,6,0.56,0.54,0.63
DUST-4-004,新铝铝镁粉尘制品厂（模拟-红）,3044,4,红,1,1,187,1,0,7630,174287,1,粉尘浓度达爆炸极限区间，湿式除尘失效，非防爆电气仍在运行,立即停止产尘作业，切断非防爆电源，疏散人员并设警戒区,D级,小型,粉尘涉爆,金属制品业,2026-05-26,演示CSV,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,RPT-947438,1,1,1,0,9,485.35,51.28,122,0.179,5,2,1,0,2,1,22,2,5,5,0,1,9,1,8,3.34,1,86,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,120.918632,31.535514,19,5,0.65,0.6,0.54
DUST-4-005,泰和铝镁粉尘制品厂（模拟-红）,3045,4,红,1,1,395,4,2,1285,199492,1,粉尘浓度达爆炸极限区间，湿式除尘失效，非防爆电气仍在运行,立即停止产尘作业，切断非防爆电源，疏散人员并设警戒区,D级,小型,粉尘涉爆,金属制品业,2026-04-27,演示CSV,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,RPT-683390,6,2,4,2,17,163.06,29.33,374,0.163,3,1,0,1,1,1,28,3,4,4,0,0,5,1,4,31.65,0,120,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,121.200412,31.587576,17,1,0.58,0.55,0.6
DUST-4-006,瑞丰铝镁粉尘制品厂（模拟-红）,3046,4,红,0,1,81,1,0,6736,75997,1,粉尘浓度达爆炸极限区间，湿式除尘失效，非防爆电气仍在运行,立即停止产尘作业，切断非防爆电源，疏散人员并设警戒区,D级,小型,粉尘涉爆,金属制品业,2026-05-09,演示CSV,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,RPT-381631,1,1,1,0,5,10.12,67.22,64,0.138,8,3,1,2,2,0,31,6,9,9,1,1,4,1,3,7.17,1,82,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,121.358235,31.684852,11,2,0.56,0.64,0.62
DUST-4-007,广益铝镁粉尘制品厂（模拟-红）,3047,4,红,1,1,194,1,0,1839,116793,1,粉尘浓度达爆炸极限区间，湿式除尘失效，非防爆电气仍在运行,立即停止产尘作业，切断非防爆电源，疏散人员并设警戒区,D级,小型,粉尘涉爆,金属制品业,2026-04-13,演示CSV,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,RPT-153015,1,1,1,0,14,352.32,29.18,117,0.222,4,1,2,0,1,1,20,7,10,10,2,2,8,2,6,11.33,2,70,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,121.13541,31.123873,4,2,0.57,0.62,0.55
DUST-4-008,鑫源抛光车间（模拟-红）,3048,4,红,1,1,272,1,0,1639,68806,1,粉尘浓度达爆炸极限区间，湿式除尘失效，非防爆电气仍在运行,立即停止产尘作业，切断非防爆电源，疏散人员并设警戒区,D级,小型,粉尘涉爆,金属制品业,2026-05-24,演示CSV,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,RPT-778818,1,1,1,0,8,400.43,25.66,178,0.187,4,1,2,0,1,1,16,5,5,5,1,0,5,2,3,21.42,1,111,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,121.467024,31.64274,17,4,0.65,0.6,0.56
DUST-4-009,联创抛光车间（模拟-红）,3049,4,红,1,1,184,1,0,5088,27820,1,粉尘浓度达爆炸极限区间，湿式除尘失效，非防爆电气仍在运行,立即停止产尘作业，切断非防爆电源，疏散人员并设警戒区,D级,小型,粉尘涉爆,金属制品业,2026-05-28,演示CSV,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,RPT-159532,1,1,1,0,12,401.18,52.0,164,0.196,4,1,1,0,2,1,14,6,8,8,1,2,7,2,5,31.65,2,37,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,121.221283,31.655401,13,3,0.65,0.59,0.62
