企业ID,企业名称,管理类别,风险等级,预测风险等级,是否发生事故,安全生产标准化建设情况,企业职工总人数,专职安全生产管理人员数,兼职安全生产管理人员数,上一年经营收入,固定资产,是否发现问题隐患 0-否 1-是,具体风险描述,管控措施,安全等级,企业规模,行业监管大类,国民经济大类,报告时间,数据来源,是否规上企业,是否投保,是否履行三同时手续,厂中厂,有风险项,爆炸性粉尘企业,氨制冷企业,有限空间企业,重大危险源,金属冶炼企业,燃气企业,有限空间作业企业,危化品企业,风险重点企业,关键风险企业,数据有效标识,危化品企业标识,危险化学品使用,有限空间关键企业,最近风险报告ID,安全管理人员数量,部门安全管理人员数量,专职安全管理人持证员数,兼职安全管理人持证员数,特种作业持证人数,投保金额,工伤保险支出（万元）,投保人数,上一年人员流动率,总风险数,A级风险数,B级风险数,C级风险数,D级风险数,曾发事故的风险数,检查总次数,检查发现问题次数,隐患总数,一般隐患数,重大隐患数,未整改隐患数,文书总数,立案文书数,检查文书数,处罚金额,干式除尘系统数量,除尘作业次数,转炉数量,电炉数量,生产状态,经营状态,国民经济门类,国民经济中类,国民经济小类,经度,纬度,危化品储罐数量,重大危险源数量,消防设施完好率,气体检测仪在线率
CHEM-2-001,瑞祥危化品储运（模拟-黄）,1021,2,黄,0,3,758,3,1,36924,3661,1,2号储罐区气体检测仪偶发低报，已安排校验，通风系统运行正常,48小时内完成检测仪校验并复核通风联锁,B级,中型,危险化学品,化学原料和化学制品制造业,2026-04-23,演示CSV,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,RPT-777278,4,1,3,1,47,1299.03,11.21,585,0.064,2,0,0,0,1,0,30,4,4,4,0,0,4,0,4,0.0,0,0,0,0,正常生产,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,120.904401,31.243305,6,2,0.87,0.82
CHEM-2-002,远东危化品储运（模拟-黄）,1022,2,黄,0,3,603,4,2,46562,119946,1,2号储罐区气体检测仪偶发低报，已安排校验，通风系统运行正常,48小时内完成检测仪校验并复核通风联锁,B级,中型,危险化学品,化学原料和化学制品制造业,2026-04-14,演示CSV,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,RPT-326895,6,2,4,2,38,832.08,51.27,407,0.101,1,0,0,0,1,0,22,5,7,7,0,0,2,0,2,0.0,0,0,0,0,正常生产,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.096791,31.980511,4,2,0.84,0.8
CHEM-2-003,盛泰危化品储运（模拟-黄）,1023,2,黄,0,2,54,1,0,18477,12931,1,2号储罐区气体检测仪偶发低报，已安排校验，通风系统运行正常,48小时内完成检测仪校验并复核通风联锁,B级,中型,危险化学品,化学原料和化学制品制造业,2026-05-23,演示CSV,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,RPT-561865,1,1,1,0,2,2706.15,27.67,42,0.109,2,0,0,0,2,0,15,5,6,6,0,0,1,0,1,0.0,0,0,0,0,正常生产,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,120.614087,31.065343,8,1,0.87,0.86
CHEM-2-004,恒源危化品储运（模拟-黄）,1024,2,黄,0,3,195,1,0,6082,66061,1,2号储罐区气体检测仪偶发低报，已安排校验，通风系统运行正常,48小时内完成检测仪校验并复核通风联锁,B级,中型,危险化学品,化学原料和化学制品制造业,2026-05-17,演示CSV,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,RPT-696251,1,1,1,0,11,1738.2,61.81,130,0.116,3,0,0,0,2,0,17,7,8,8,0,0,4,0,4,0.0,0,0,0,0,正常生产,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,120.707788,31.211025,2,1,0.84,0.84
CHEM-2-005,新能危化品储运（模拟-黄）,1025,2,黄,0,3,200,2,1,30024,181714,1,2号储罐区气体检测仪偶发低报，已安排校验，通风系统运行正常,48小时内完成检测仪校验并复核通风联锁,B级,中型,危险化学品,化学原料和化学制品制造业,2026-05-10,演示CSV,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,RPT-820775,3,1,2,1,6,799.59,65.39,166,0.087,1,0,0,0,1,0,33,8,10,10,0,0,3,0,3,0.0,0,0,0,0,正常生产,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.303906,31.197819,2,3,0.84,0.8
CHEM-2-006,华安危化品储运（模拟-黄）,1026,2,黄,0,2,312,1,0,5179,16633,1,2号储罐区气体检测仪偶发低报，已安排校验，通风系统运行正常,48小时内完成检测仪校验并复核通风联锁,B级,中型,危险化学品,化学原料和化学制品制造业,2026-05-16,演示CSV,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,RPT-624783,1,1,1,0,16,1270.7,51.86,257,0.111,2,0,0,0,2,0,19,5,7,7,0,0,4,0,4,0.0,0,0,0,0,正常生产,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.234534,31.603714,1,1,0.84,0.86
CHEM-2-007,金源危化品储运（模拟-黄）,1027,2,黄,0,2,629,4,2,44558,71650,1,2号储罐区气体检测仪偶发低报，已安排校验，通风系统运行正常,48小时内完成检测仪校验并复核通风联锁,B级,中型,危险化学品,化学原料和化学制品制造业,2026-05-28,演示CSV,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,RPT-953797,6,2,4,2,31,328.18,34.36,391,0.067,3,0,0,0,2,0,32,1,2,2,0,0,3,0,3,0.0,0,0,0,0,正常生产,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.170134,31.857733,6,2,0.88,0.81
CHEM-2-008,宏达精细化工（模拟-黄）,1028,2,黄,0,2,450,2,1,30307,24084,1,2号储罐区气体检测仪偶发低报，已安排校验，通风系统运行正常,48小时内完成检测仪校验并复核通风联锁,B级,中型,危险化学品,化学原料和化学制品制造业,2026-04-25,演示CSV,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,RPT-584417,3,1,2,1,20,590.22,35.32,395,0.101,2,0,0,0,1,0,24,5,7,7,0,0,5,0,5,0.0,0,0,0,0,正常生产,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.125409,31.759991,4,2,0.87,0.89
CHEM-2-009,瑞祥精细化工（模拟-黄）,1029,2,黄,0,3,488,2,1,8457,8567,1,2号储罐区气体检测仪偶发低报，已安排校验，通风系统运行正常,48小时内完成检测仪校验并复核通风联锁,B级,中型,危险化学品,化学原料和化学制品制造业,2026-04-11,演示CSV,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,RPT-583863,3,1,2,1,37,1841.77,20.78,348,0.115,2,0,0,0,2,0,34,4,5,5,0,0,5,0,5,0.0,0,0,0,0,正常生产,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,120.791862,31.705412,7,2,0.91,0.81
CHEM-2-010,远东精细化工（模拟-黄）,1030,2,黄,0,3,604,6,3,12991,158123,1,2号储罐区气体检测仪偶发低报，已安排校验，通风系统运行正常,48小时内完成检测仪校验并复核通风联锁,B级,中型,危险化学品,化学原料和化学制品制造业,2026-05-08,演示CSV,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,RPT-396578,9,3,6,3,38,2357.93,50.59,557,0.093,3,0,0,0,2,0,30,3,3,3,0,0,3,0,3,0.0,0,0,0,0,正常生产,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.365261,31.446547,8,2,0.85,0.87
CHEM-3-001,瑞祥危化品储运（模拟-橙）,1031,3,橙,1,2,139,1,0,1872,60386,1,储罐区可燃气体浓度间歇性升高至报警值附近，需加强通风与在线监测,加强储罐区巡检频次，备妥应急切断与通风备用设备,C级,中型,危险化学品,化学原料和化学制品制造业,2026-04-21,演示CSV,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,RPT-565776,1,1,1,0,7,376.2,64.87,116,0.127,2,0,0,1,1,0,18,3,3,3,1,0,4,0,4,7.62,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,120.739168,31.965597,17,2,0.74,0.78
CHEM-3-002,远东危化品储运（模拟-橙）,1032,3,橙,1,2,255,1,0,4419,139270,1,储罐区可燃气体浓度间歇性升高至报警值附近，需加强通风与在线监测,加强储罐区巡检频次，备妥应急切断与通风备用设备,C级,中型,危险化学品,化学原料和化学制品制造业,2026-05-10,演示CSV,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,RPT-571145,1,1,1,0,18,73.67,40.62,227,0.241,3,0,0,2,0,1,27,3,4,4,2,1,10,0,10,14.43,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,120.722038,31.451128,13,2,0.74,0.71
CHEM-3-003,盛泰危化品储运（模拟-橙）,1033,3,橙,0,1,221,2,1,3371,59861,1,储罐区可燃气体浓度间歇性升高至报警值附近，需加强通风与在线监测,加强储罐区巡检频次，备妥应急切断与通风备用设备,C级,中型,危险化学品,化学原料和化学制品制造业,2026-05-22,演示CSV,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,RPT-119927,3,1,2,1,7,417.48,48.42,188,0.206,1,0,0,1,0,0,14,6,6,6,2,2,4,2,2,19.11,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.027772,31.111187,11,2,0.73,0.67
CHEM-3-004,恒源危化品储运（模拟-橙）,1034,3,橙,1,2,244,1,0,814,30060,1,储罐区可燃气体浓度间歇性升高至报警值附近，需加强通风与在线监测,加强储罐区巡检频次，备妥应急切断与通风备用设备,C级,中型,危险化学品,化学原料和化学制品制造业,2026-04-24,演示CSV,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,RPT-651613,1,1,1,0,12,393.21,45.53,199,0.093,3,0,0,2,1,1,29,1,2,2,2,1,4,1,3,9.09,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.373331,31.043534,14,3,0.73,0.67
CHEM-3-005,新能危化品储运（模拟-橙）,1035,3,橙,0,1,64,1,0,6620,153542,1,储罐区可燃气体浓度间歇性升高至报警值附近，需加强通风与在线监测,加强储罐区巡检频次，备妥应急切断与通风备用设备,C级,中型,危险化学品,化学原料和化学制品制造业,2026-05-09,演示CSV,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,RPT-929538,1,1,1,0,2,20.95,75.34,36,0.172,3,0,0,2,0,1,24,3,3,3,1,2,4,0,4,13.14,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.489123,31.543031,10,2,0.78,0.69
CHEM-3-006,华安危化品储运（模拟-橙）,1036,3,橙,1,2,212,1,0,2538,33630,1,储罐区可燃气体浓度间歇性升高至报警值附近，需加强通风与在线监测,加强储罐区巡检频次，备妥应急切断与通风备用设备,C级,中型,危险化学品,化学原料和化学制品制造业,2026-05-10,演示CSV,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,RPT-671971,1,1,1,0,7,51.3,32.95,184,0.137,3,0,0,2,1,0,25,7,10,10,2,3,6,2,4,13.46,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,120.945916,31.717663,7,4,0.74,0.72
CHEM-3-007,金源危化品储运（模拟-橙）,1037,3,橙,1,2,210,1,0,5538,16036,1,储罐区可燃气体浓度间歇性升高至报警值附近，需加强通风与在线监测,加强储罐区巡检频次，备妥应急切断与通风备用设备,C级,中型,危险化学品,化学原料和化学制品制造业,2026-04-27,演示CSV,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,RPT-488984,1,1,1,0,8,381.54,50.17,145,0.175,2,0,0,1,0,0,16,7,9,9,2,1,7,2,5,6.14,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,120.898034,31.649561,9,2,0.7,0.69
CHEM-3-008,宏达精细化工（模拟-橙）,1038,3,橙,1,1,295,2,1,2444,69233,1,储罐区可燃气体浓度间歇性升高至报警值附近，需加强通风与在线监测,加强储罐区巡检频次，备妥应急切断与通风备用设备,C级,中型,危险化学品,化学原料和化学制品制造业,2026-05-19,演示CSV,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,RPT-414527,3,1,2,1,20,355.9,74.91,279,0.192,1,0,0,1,0,1,28,4,6,6,2,3,9,2,7,12.68,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.293696,31.508756,5,2,0.78,0.7
CHEM-3-009,瑞祥精细化工（模拟-橙）,1039,3,橙,0,2,282,3,1,4128,145610,1,储罐区可燃气体浓度间歇性升高至报警值附近，需加强通风与在线监测,加强储罐区巡检频次，备妥应急切断与通风备用设备,C级,中型,危险化学品,化学原料和化学制品制造业,2026-05-12,演示CSV,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,RPT-905077,4,1,3,1,21,216.31,73.75,205,0.099,4,0,0,2,1,1,18,2,2,2,1,1,3,1,2,6.25,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,120.624161,31.153015,7,2,0.73,0.75
CHEM-3-010,远东精细化工（模拟-橙）,1040,3,橙,0,2,207,1,0,7229,21672,1,储罐区可燃气体浓度间歇性升高至报警值附近，需加强通风与在线监测,加强储罐区巡检频次，备妥应急切断与通风备用设备,C级,中型,危险化学品,化学原料和化学制品制造业,2026-04-08,演示CSV,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,RPT-782759,1,1,1,0,6,286.07,53.27,183,0.095,1,0,0,1,0,0,22,4,6,6,0,1,7,2,5,15.62,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.388997,31.545577,11,3,0.72,0.76
CHEM-2024-001,宏达危化品储运有限公司,1003,4,红,1,2,320,4,2,8500,12000,1,3号储罐区可燃气体浓度异常升高，达到爆炸下限的38%，同时通风系统2号风机故障停运,立即切断储罐进料阀门，启动备用通风系统，撤离非必要人员,C级,中型,危险化学品,化学原料和化学制品制造业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3,0.78,0.65
CHEM-4-001,瑞祥危化品储运（模拟-红）,1041,4,红,0,1,363,2,1,5241,183266,1,储罐区可燃气体浓度异常升高逼近爆炸下限，通风系统故障停运,立即切断储罐进料阀门，启动备用通风系统，撤离非必要人员,D级,小型,危险化学品,化学原料和化学制品制造业,2026-04-26,演示CSV,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,RPT-842776,3,1,2,1,11,398.84,68.19,252,0.101,7,2,1,2,2,0,20,8,10,10,0,1,8,1,7,11.78,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.347788,31.795046,17,3,0.65,0.59
CHEM-4-002,远东危化品储运（模拟-红）,1042,4,红,1,1,367,3,1,905,118720,1,储罐区可燃气体浓度异常升高逼近爆炸下限，通风系统故障停运,立即切断储罐进料阀门，启动备用通风系统，撤离非必要人员,D级,小型,危险化学品,化学原料和化学制品制造业,2026-04-26,演示CSV,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,RPT-211090,4,1,3,1,7,129.37,45.75,226,0.173,5,3,0,1,1,1,33,8,11,11,2,3,7,0,7,5.28,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.080518,31.575235,16,4,0.63,0.65
CHEM-4-003,盛泰危化品储运（模拟-红）,1043,4,红,1,1,331,1,0,501,127555,1,储罐区可燃气体浓度异常升高逼近爆炸下限，通风系统故障停运,立即切断储罐进料阀门，启动备用通风系统，撤离非必要人员,D级,小型,危险化学品,化学原料和化学制品制造业,2026-05-11,演示CSV,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,RPT-123682,1,1,1,0,23,323.98,57.4,245,0.116,6,3,0,1,2,1,17,5,8,8,0,0,10,0,10,12.29,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.4839,31.243913,7,5,0.6,0.62
CHEM-4-004,恒源危化品储运（模拟-红）,1044,4,红,1,1,266,2,1,1826,168897,1,储罐区可燃气体浓度异常升高逼近爆炸下限，通风系统故障停运,立即切断储罐进料阀门，启动备用通风系统，撤离非必要人员,D级,小型,危险化学品,化学原料和化学制品制造业,2026-04-26,演示CSV,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,RPT-219490,3,1,2,1,9,431.32,46.94,175,0.192,7,2,2,1,2,1,35,7,10,10,0,0,5,0,5,2.13,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.096971,31.611308,20,3,0.62,0.66
CHEM-4-005,新能危化品储运（模拟-红）,1045,4,红,1,1,346,3,1,7825,162083,1,储罐区可燃气体浓度异常升高逼近爆炸下限，通风系统故障停运,立即切断储罐进料阀门，启动备用通风系统，撤离非必要人员,D级,小型,危险化学品,化学原料和化学制品制造业,2026-04-26,演示CSV,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,RPT-681868,4,1,3,1,10,144.42,23.1,244,0.225,3,1,1,0,1,1,32,2,3,3,1,0,10,0,10,13.2,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.11941,31.865522,2,4,0.6,0.65
CHEM-4-006,华安危化品储运（模拟-红）,1046,4,红,1,1,317,2,1,5909,129902,1,储罐区可燃气体浓度异常升高逼近爆炸下限，通风系统故障停运,立即切断储罐进料阀门，启动备用通风系统，撤离非必要人员,D级,小型,危险化学品,化学原料和化学制品制造业,2026-05-26,演示CSV,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,RPT-380901,3,1,2,1,21,411.64,35.68,210,0.222,5,3,0,0,2,1,27,8,11,11,0,0,10,0,10,2.98,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,120.541611,31.71898,19,3,0.69,0.57
CHEM-4-007,金源危化品储运（模拟-红）,1047,4,红,0,1,364,2,1,3984,69895,1,储罐区可燃气体浓度异常升高逼近爆炸下限，通风系统故障停运,立即切断储罐进料阀门，启动备用通风系统，撤离非必要人员,D级,小型,危险化学品,化学原料和化学制品制造业,2026-04-26,演示CSV,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,RPT-403387,3,1,2,1,19,476.2,46.01,318,0.234,7,1,2,2,2,1,25,2,5,5,0,0,5,0,5,6.98,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.315181,31.135589,15,3,0.69,0.66
CHEM-4-008,宏达精细化工（模拟-红）,1048,4,红,1,1,94,1,0,1498,187487,1,储罐区可燃气体浓度异常升高逼近爆炸下限，通风系统故障停运,立即切断储罐进料阀门，启动备用通风系统，撤离非必要人员,D级,小型,危险化学品,化学原料和化学制品制造业,2026-05-19,演示CSV,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,RPT-866437,1,1,1,0,7,317.42,58.81,66,0.226,8,3,2,1,2,1,24,4,7,7,1,0,3,0,3,13.26,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.295678,31.397716,15,3,0.64,0.6
CHEM-4-009,瑞祥精细化工（模拟-红）,1049,4,红,1,1,175,1,0,4937,128228,1,储罐区可燃气体浓度异常升高逼近爆炸下限，通风系统故障停运,立即切断储罐进料阀门，启动备用通风系统，撤离非必要人员,D级,小型,危险化学品,化学原料和化学制品制造业,2026-04-28,演示CSV,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,RPT-362552,1,1,1,0,4,332.25,55.42,165,0.098,3,1,0,0,2,1,24,1,1,1,0,1,5,1,4,15.7,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.125604,31.725988,9,4,0.65,0.64
