企业ID,企业名称,管理类别,风险等级,预测风险等级,是否发生事故,安全生产标准化建设情况,企业职工总人数,专职安全生产管理人员数,兼职安全生产管理人员数,上一年经营收入,固定资产,是否发现问题隐患 0-否 1-是,具体风险描述,管控措施,安全等级,企业规模,行业监管大类,国民经济大类,报告时间,数据来源,是否规上企业,是否投保,是否履行三同时手续,厂中厂,有风险项,爆炸性粉尘企业,氨制冷企业,有限空间企业,重大危险源,金属冶炼企业,燃气企业,有限空间作业企业,危化品企业,风险重点企业,关键风险企业,数据有效标识,危化品企业标识,危险化学品使用,有限空间关键企业,最近风险报告ID,安全管理人员数量,部门安全管理人员数量,专职安全管理人持证员数,兼职安全管理人持证员数,特种作业持证人数,投保金额,工伤保险支出（万元）,投保人数,上一年人员流动率,总风险数,A级风险数,B级风险数,C级风险数,D级风险数,曾发事故的风险数,检查总次数,检查发现问题次数,隐患总数,一般隐患数,重大隐患数,未整改隐患数,文书总数,立案文书数,检查文书数,处罚金额,干式除尘系统数量,除尘作业次数,转炉数量,电炉数量,生产状态,经营状态,国民经济门类,国民经济中类,国民经济小类,经度,纬度,高炉容积_m3,煤气柜容量_万m3,铁水包在线数量,炉壳温度测点完好率,煤气报警器覆盖率
META-2-001,宝钢钢铁炼铁厂（模拟-黄）,2021,2,黄,0,3,426,3,1,12863,183845,1,TRT机组振动值略高但在可控范围，已列入维保计划,安排TRT机组专项维保并复核振动监测阈值,B级,中型,冶金,黑色金属冶炼和压延加工业,2026-05-20,演示CSV,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,RPT-795928,4,1,3,1,28,1853.49,20.65,361,0.117,2,0,0,0,2,0,21,7,8,8,0,0,3,0,3,0.0,0,0,0,2,正常生产,正常,制造业,黑色金属冶炼和压延加工业,炼铁,120.626246,31.965354,2000,8,9,0.78,0.88
META-2-002,龙腾钢铁炼铁厂（模拟-黄）,2022,2,黄,0,2,187,1,0,5403,124074,1,TRT机组振动值略高但在可控范围，已列入维保计划,安排TRT机组专项维保并复核振动监测阈值,B级,中型,冶金,黑色金属冶炼和压延加工业,2026-05-28,演示CSV,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,RPT-853629,1,1,1,0,13,1407.22,47.87,131,0.089,2,0,0,0,1,0,22,6,9,9,0,0,5,0,5,0.0,0,0,2,2,正常生产,正常,制造业,黑色金属冶炼和压延加工业,炼铁,120.73477,31.6844,2000,12,3,0.81,0.81
META-2-003,华冶钢铁炼铁厂（模拟-黄）,2023,2,黄,0,2,142,1,0,45982,79503,1,TRT机组振动值略高但在可控范围，已列入维保计划,安排TRT机组专项维保并复核振动监测阈值,B级,中型,冶金,黑色金属冶炼和压延加工业,2026-04-15,演示CSV,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,RPT-656968,1,1,1,0,6,1934.5,22.6,99,0.054,2,0,0,0,1,0,14,1,3,3,0,0,3,0,3,0.0,0,0,1,1,正常生产,正常,制造业,黑色金属冶炼和压延加工业,炼铁,121.109492,31.382544,1200,20,11,0.78,0.84
META-2-004,鑫钢钢铁炼铁厂（模拟-黄）,2024,2,黄,0,2,301,1,0,30990,76400,1,TRT机组振动值略高但在可控范围，已列入维保计划,安排TRT机组专项维保并复核振动监测阈值,B级,中型,冶金,黑色金属冶炼和压延加工业,2026-05-16,演示CSV,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,RPT-579027,1,1,1,0,21,621.87,36.93,201,0.079,3,0,0,0,2,0,35,3,3,3,0,0,5,0,5,0.0,0,0,1,0,正常生产,正常,制造业,黑色金属冶炼和压延加工业,炼铁,120.737206,31.571923,2000,14,2,0.87,0.86
META-2-005,中联钢铁炼铁厂（模拟-黄）,2025,2,黄,0,2,619,3,1,40241,196342,1,TRT机组振动值略高但在可控范围，已列入维保计划,安排TRT机组专项维保并复核振动监测阈值,B级,中型,冶金,黑色金属冶炼和压延加工业,2026-04-28,演示CSV,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,RPT-201883,4,1,3,1,45,1838.05,31.63,494,0.075,2,0,0,0,2,0,29,5,6,6,0,0,2,0,2,0.0,0,0,0,2,正常生产,正常,制造业,黑色金属冶炼和压延加工业,炼铁,121.079574,31.73236,800,14,7,0.84,0.82
META-2-006,北方钢铁炼铁厂（模拟-黄）,2026,2,黄,0,3,414,2,1,11283,68363,1,TRT机组振动值略高但在可控范围，已列入维保计划,安排TRT机组专项维保并复核振动监测阈值,B级,中型,冶金,黑色金属冶炼和压延加工业,2026-04-20,演示CSV,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,RPT-986827,3,1,2,1,28,1074.91,65.35,251,0.041,2,0,0,0,1,0,29,5,7,7,0,0,1,0,1,0.0,0,0,0,1,正常生产,正常,制造业,黑色金属冶炼和压延加工业,炼铁,121.036572,31.454786,2000,17,12,0.86,0.81
META-2-007,扬子钢铁炼铁厂（模拟-黄）,2027,2,黄,0,3,65,1,0,40482,59030,1,TRT机组振动值略高但在可控范围，已列入维保计划,安排TRT机组专项维保并复核振动监测阈值,B级,中型,冶金,黑色金属冶炼和压延加工业,2026-04-17,演示CSV,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,RPT-616554,1,1,1,0,1,718.66,47.63,39,0.071,3,0,0,0,2,0,34,2,5,5,0,0,1,0,1,0.0,0,0,2,1,正常生产,正常,制造业,黑色金属冶炼和压延加工业,炼铁,120.871012,31.949381,3200,9,8,0.83,0.87
META-2-008,金泰轧钢厂（模拟-黄）,2028,2,黄,0,3,326,3,1,14738,117230,1,TRT机组振动值略高但在可控范围，已列入维保计划,安排TRT机组专项维保并复核振动监测阈值,B级,中型,冶金,黑色金属冶炼和压延加工业,2026-05-09,演示CSV,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,RPT-517479,4,1,3,1,11,2713.52,76.43,296,0.106,2,0,0,0,1,0,28,4,6,6,0,0,5,0,5,0.0,0,0,2,0,正常生产,正常,制造业,黑色金属冶炼和压延加工业,炼铁,120.591673,31.212106,800,6,7,0.79,0.82
META-2-009,宝钢轧钢厂（模拟-黄）,2029,2,黄,0,2,110,1,0,38929,57610,1,TRT机组振动值略高但在可控范围，已列入维保计划,安排TRT机组专项维保并复核振动监测阈值,B级,中型,冶金,黑色金属冶炼和压延加工业,2026-05-13,演示CSV,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,RPT-215266,1,1,1,0,6,150.12,11.04,103,0.103,2,0,0,0,1,0,21,6,7,7,0,0,2,0,2,0.0,0,0,0,2,正常生产,正常,制造业,黑色金属冶炼和压延加工业,炼铁,120.737932,31.323771,1200,13,2,0.78,0.84
META-2-010,龙腾轧钢厂（模拟-黄）,2030,2,黄,0,3,105,1,0,24226,135542,1,TRT机组振动值略高但在可控范围，已列入维保计划,安排TRT机组专项维保并复核振动监测阈值,B级,中型,冶金,黑色金属冶炼和压延加工业,2026-04-09,演示CSV,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,RPT-602248,1,1,1,0,7,1239.46,17.56,70,0.097,1,0,0,0,1,0,32,2,5,5,0,0,5,0,5,0.0,0,0,2,2,正常生产,正常,制造业,黑色金属冶炼和压延加工业,炼铁,120.943562,31.899267,2000,9,3,0.78,0.86
META-2024-002,金泰钢铁集团炼铁厂,2001,3,橙,0,3,580,12,6,45000,180000,1,高炉煤气管道压力波动异常，TRT透平机振动值超标，炉顶温度连续3小时高于警戒值,降低鼓风量至正常值的85%，增加炉顶打水频率，密切监控煤气成分,B级,大型,冶金,黑色金属冶炼和压延加工业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200,15,8,0.82,0.91
META-3-001,宝钢钢铁炼铁厂（模拟-橙）,2031,3,橙,0,1,237,2,1,1594,116239,1,高炉煤气管道压力波动异常，炉顶温度多次逼近警戒值,降低鼓风量并增加炉顶打水，密切监控煤气成分,C级,中型,冶金,黑色金属冶炼和压延加工业,2026-04-18,演示CSV,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,RPT-380464,3,1,2,1,11,70.44,13.54,202,0.241,3,0,0,1,1,1,27,8,11,11,0,1,4,1,3,19.63,0,0,0,1,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,121.364164,31.418135,1200,15,11,0.73,0.71
META-3-002,龙腾钢铁炼铁厂（模拟-橙）,2032,3,橙,0,2,293,2,1,4374,7075,1,高炉煤气管道压力波动异常，炉顶温度多次逼近警戒值,降低鼓风量并增加炉顶打水，密切监控煤气成分,C级,中型,冶金,黑色金属冶炼和压延加工业,2026-04-11,演示CSV,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,RPT-862847,3,1,2,1,12,201.63,13.17,194,0.098,2,0,0,2,0,0,16,7,10,10,0,0,9,2,7,15.16,0,0,1,2,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,121.061817,31.362524,2000,7,8,0.71,0.76
META-3-003,华冶钢铁炼铁厂（模拟-橙）,2033,3,橙,0,1,378,2,1,3526,98831,1,高炉煤气管道压力波动异常，炉顶温度多次逼近警戒值,降低鼓风量并增加炉顶打水，密切监控煤气成分,C级,中型,冶金,黑色金属冶炼和压延加工业,2026-04-18,演示CSV,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,RPT-270395,3,1,2,1,16,308.25,68.98,276,0.185,1,0,0,1,0,0,24,6,7,7,0,1,10,1,9,10.66,0,0,2,0,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,121.007315,31.509714,3200,14,9,0.74,0.72
META-3-004,鑫钢钢铁炼铁厂（模拟-橙）,2034,3,橙,0,1,243,1,0,5189,125410,1,高炉煤气管道压力波动异常，炉顶温度多次逼近警戒值,降低鼓风量并增加炉顶打水，密切监控煤气成分,C级,中型,冶金,黑色金属冶炼和压延加工业,2026-05-18,演示CSV,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,RPT-824042,1,1,1,0,7,250.91,52.8,152,0.165,2,0,0,1,1,1,22,4,4,4,2,3,3,2,1,9.12,0,0,2,1,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,121.348377,31.727402,1200,11,10,0.69,0.75
META-3-005,中联钢铁炼铁厂（模拟-橙）,2035,3,橙,0,2,190,1,0,4775,93874,1,高炉煤气管道压力波动异常，炉顶温度多次逼近警戒值,降低鼓风量并增加炉顶打水，密切监控煤气成分,C级,中型,冶金,黑色金属冶炼和压延加工业,2026-05-18,演示CSV,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,RPT-401769,1,1,1,0,5,338.31,36.58,156,0.247,3,0,0,2,1,1,35,5,8,8,0,0,5,1,4,21.7,0,0,1,1,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,121.318377,31.954609,1200,14,2,0.69,0.75
META-3-006,北方钢铁炼铁厂（模拟-橙）,2036,3,橙,1,1,365,3,1,1955,142184,1,高炉煤气管道压力波动异常，炉顶温度多次逼近警戒值,降低鼓风量并增加炉顶打水，密切监控煤气成分,C级,中型,冶金,黑色金属冶炼和压延加工业,2026-04-12,演示CSV,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,RPT-526673,4,1,3,1,21,440.32,43.3,305,0.194,1,0,0,1,0,1,22,5,6,6,0,0,7,1,6,5.89,0,0,2,2,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,121.255911,31.287245,2000,6,3,0.73,0.71
META-3-007,扬子钢铁炼铁厂（模拟-橙）,2037,3,橙,1,2,49,1,0,7527,47081,1,高炉煤气管道压力波动异常，炉顶温度多次逼近警戒值,降低鼓风量并增加炉顶打水，密切监控煤气成分,C级,中型,冶金,黑色金属冶炼和压延加工业,2026-05-12,演示CSV,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,RPT-386090,1,1,1,0,1,56.32,21.37,35,0.163,2,0,0,1,0,0,15,7,10,10,0,1,6,1,5,6.82,0,0,2,2,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,120.757265,31.186199,2000,14,11,0.73,0.71
META-3-008,金泰轧钢厂（模拟-橙）,2038,3,橙,0,2,237,1,0,1010,106076,1,高炉煤气管道压力波动异常，炉顶温度多次逼近警戒值,降低鼓风量并增加炉顶打水，密切监控煤气成分,C级,中型,冶金,黑色金属冶炼和压延加工业,2026-04-16,演示CSV,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,RPT-165142,1,1,1,0,14,232.7,21.18,158,0.2,2,0,0,2,0,0,35,2,3,3,0,1,7,1,6,9.0,0,0,2,0,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,121.423106,31.887801,2000,8,12,0.75,0.72
META-3-009,宝钢轧钢厂（模拟-橙）,2039,3,橙,0,2,142,1,0,6425,159790,1,高炉煤气管道压力波动异常，炉顶温度多次逼近警戒值,降低鼓风量并增加炉顶打水，密切监控煤气成分,C级,中型,冶金,黑色金属冶炼和压延加工业,2026-04-26,演示CSV,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,RPT-444056,1,1,1,0,10,220.92,57.62,81,0.205,2,0,0,1,0,0,25,7,10,10,2,1,3,2,1,11.15,0,0,2,0,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,120.988828,31.898889,3200,6,9,0.67,0.73
META-3-010,龙腾轧钢厂（模拟-橙）,2040,3,橙,0,2,316,2,1,6225,6706,1,高炉煤气管道压力波动异常，炉顶温度多次逼近警戒值,降低鼓风量并增加炉顶打水，密切监控煤气成分,C级,中型,冶金,黑色金属冶炼和压延加工业,2026-05-09,演示CSV,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,RPT-906325,3,1,2,1,8,320.76,61.05,298,0.244,2,0,0,1,0,0,26,5,5,5,2,1,3,0,3,6.08,0,0,2,0,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,120.874461,31.891334,3200,17,8,0.67,0.77
META-4-001,宝钢钢铁炼铁厂（模拟-红）,2041,4,红,1,1,345,2,1,1010,27336,1,煤气管道压力剧烈波动，TRT透平机振动超标，炉顶温度连续超警,降低鼓风量至正常值85%以下，增打水频率，煤气防护站待命,D级,小型,冶金,黑色金属冶炼和压延加工业,2026-05-08,演示CSV,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,RPT-884170,3,1,2,1,15,323.08,64.87,272,0.217,4,2,0,0,2,1,18,2,5,5,1,1,10,0,10,21.34,0,0,0,1,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,120.739341,31.385886,1200,20,12,0.61,0.63
META-4-002,龙腾钢铁炼铁厂（模拟-红）,2042,4,红,1,1,192,2,1,3293,144224,1,煤气管道压力剧烈波动，TRT透平机振动超标，炉顶温度连续超警,降低鼓风量至正常值85%以下，增打水频率，煤气防护站待命,D级,小型,冶金,黑色金属冶炼和压延加工业,2026-05-21,演示CSV,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,RPT-187657,3,1,2,1,7,255.65,24.22,144,0.219,5,3,0,0,2,1,35,3,6,6,0,0,8,0,8,8.47,0,0,0,0,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,121.03639,31.390732,800,14,8,0.63,0.65
META-4-003,华冶钢铁炼铁厂（模拟-红）,2043,4,红,1,1,74,1,0,5315,160601,1,煤气管道压力剧烈波动，TRT透平机振动超标，炉顶温度连续超警,降低鼓风量至正常值85%以下，增打水频率，煤气防护站待命,D级,小型,冶金,黑色金属冶炼和压延加工业,2026-05-13,演示CSV,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,RPT-908903,1,1,1,0,5,167.51,40.05,56,0.174,6,3,0,2,1,1,15,5,6,6,0,0,10,1,9,6.91,0,0,2,0,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,120.76295,31.975051,800,20,9,0.6,0.59
META-4-004,鑫钢钢铁炼铁厂（模拟-红）,2044,4,红,0,1,218,2,1,7625,151447,1,煤气管道压力剧烈波动，TRT透平机振动超标，炉顶温度连续超警,降低鼓风量至正常值85%以下，增打水频率，煤气防护站待命,D级,小型,冶金,黑色金属冶炼和压延加工业,2026-04-25,演示CSV,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,RPT-536476,3,1,2,1,16,159.97,67.82,201,0.181,2,1,0,0,1,1,35,2,3,3,2,0,4,0,4,12.92,0,0,1,0,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,120.619401,31.673326,800,10,5,0.63,0.66
META-4-005,中联钢铁炼铁厂（模拟-红）,2045,4,红,0,1,268,1,0,2981,23645,1,煤气管道压力剧烈波动，TRT透平机振动超标，炉顶温度连续超警,降低鼓风量至正常值85%以下，增打水频率，煤气防护站待命,D级,小型,冶金,黑色金属冶炼和压延加工业,2026-04-12,演示CSV,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,RPT-451291,1,1,1,0,5,328.65,69.43,225,0.206,6,2,2,1,1,1,31,8,8,8,1,0,5,1,4,13.05,0,0,0,2,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,120.603949,31.529814,1200,18,9,0.65,0.66
META-4-006,北方钢铁炼铁厂（模拟-红）,2046,4,红,0,1,173,1,0,7650,137251,1,煤气管道压力剧烈波动，TRT透平机振动超标，炉顶温度连续超警,降低鼓风量至正常值85%以下，增打水频率，煤气防护站待命,D级,小型,冶金,黑色金属冶炼和压延加工业,2026-04-15,演示CSV,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,RPT-433507,1,1,1,0,8,116.81,76.05,125,0.112,6,3,0,2,1,1,27,6,9,9,2,0,2,2,0,4.24,0,0,2,1,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,121.270147,31.108973,800,10,9,0.6,0.62
META-4-007,扬子钢铁炼铁厂（模拟-红）,2047,4,红,0,1,136,1,0,7283,32434,1,煤气管道压力剧烈波动，TRT透平机振动超标，炉顶温度连续超警,降低鼓风量至正常值85%以下，增打水频率，煤气防护站待命,D级,小型,冶金,黑色金属冶炼和压延加工业,2026-05-16,演示CSV,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,RPT-199326,1,1,1,0,6,401.95,19.79,77,0.092,3,1,1,0,1,0,16,3,5,5,2,0,10,1,9,31.05,0,0,2,0,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,121.330372,31.982567,1200,11,8,0.59,0.63
META-4-008,金泰轧钢厂（模拟-红）,2048,4,红,0,1,328,2,1,478,17900,1,煤气管道压力剧烈波动，TRT透平机振动超标，炉顶温度连续超警,降低鼓风量至正常值85%以下，增打水频率，煤气防护站待命,D级,小型,冶金,黑色金属冶炼和压延加工业,2026-05-21,演示CSV,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,RPT-136332,3,1,2,1,18,308.49,55.31,245,0.17,3,1,0,1,1,0,20,8,9,9,0,1,8,1,7,29.72,0,0,2,0,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,121.382779,31.479031,800,13,8,0.57,0.6
META-4-009,宝钢轧钢厂（模拟-红）,2049,4,红,1,1,352,1,0,3433,188005,1,煤气管道压力剧烈波动，TRT透平机振动超标，炉顶温度连续超警,降低鼓风量至正常值85%以下，增打水频率，煤气防护站待命,D级,小型,冶金,黑色金属冶炼和压延加工业,2026-05-09,演示CSV,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,RPT-267378,1,1,1,0,9,328.43,28.66,197,0.221,7,3,1,1,2,1,25,8,11,11,1,2,5,1,4,7.39,0,0,0,0,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,121.417259,31.055909,1200,17,7,0.65,0.66
